AMC,Category,Scheme_Count,Avg_NAV,Total_NAV
360 ONE Mutual Fund,Debt,10,20.544059999999998,205.4406
360 ONE Mutual Fund,Hybrid,4,13.072,52.288
360 ONE Mutual Fund,Index,6,53.241350000000004,319.4481
360 ONE Mutual Fund,Liquid,6,1353.7231666666667,8122.339
360 ONE Mutual Fund,Other,18,245.29652777777775,4415.3375
Aditya Birla Sun Life Mutual Fund,Debt,65,54.979435384615385,3573.6633
Aditya Birla Sun Life Mutual Fund,Equity,32,144.07509687499999,4610.4030999999995
Aditya Birla Sun Life Mutual Fund,Gilt,26,19.57823846153846,509.0342
Aditya Birla Sun Life Mutual Fund,Hybrid,12,49.06069166666666,588.7283
Aditya Birla Sun Life Mutual Fund,Index,87,25.298426436781607,2200.9631
Aditya Birla Sun Life Mutual Fund,Liquid,15,308.16546,4622.4819
Aditya Birla Sun Life Mutual Fund,Other,247,155.92141619433198,38512.5898
Angel One Mutual Fund,Index,9,11.16558888888889,100.4903
Angel One Mutual Fund,Liquid,1,1032.7756,1032.7756
Axis Mutual Fund,Debt,78,197.66204871794872,15417.6398
Axis Mutual Fund,Equity,20,17.54602,350.9204
Axis Mutual Fund,Gilt,15,14.050266666666666,210.754
Axis Mutual Fund,Hybrid,20,17.883805000000002,357.6761
Axis Mutual Fund,Index,53,48.18403396226415,2553.7538
Axis Mutual Fund,Liquid,13,1530.8223,19900.6899
Axis Mutual Fund,Other,200,339.849249,67969.8498
Bajaj Finserv Mutual Fund,Equity,4,10.100999999999999,40.403999999999996
Bajaj Finserv Mutual Fund,Gilt,4,1033.2402000000002,4132.960800000001
Bajaj Finserv Mutual Fund,Hybrid,4,11.8295,47.318
Bajaj Finserv Mutual Fund,Index,10,40.624970000000005,406.2497
Bajaj Finserv Mutual Fund,Liquid,11,1061.9459727272726,11681.4057
Bajaj Finserv Mutual Fund,Other,64,312.228934375,19982.6518
Bandhan Mutual Fund,Debt,89,17.299756865280898,1539.67836101
Bandhan Mutual Fund,Equity,14,17.72466038,248.14524532
Bandhan Mutual Fund,Gilt,32,11.46744375,366.9582
Bandhan Mutual Fund,Hybrid,14,22.096292857142856,309.3481
Bandhan Mutual Fund,Index,50,38.916282,1945.8141
Bandhan Mutual Fund,Liquid,15,1012.7673733333334,15191.5106
Bandhan Mutual Fund,Other,207,80.18000355497585,16597.26073588
Bank of India Mutual Fund,Debt,6,18.86315,113.1789
Bank of India Mutual Fund,Equity,4,36.75,147.0
