AMC,Total_Schemes,Avg_NAV,Total_NAV,NAV_Std,Primary_Category,Estimated_AUM_Cr,Market_Share_Pct
IL&FS Mutual Fund (IDF),12,1735863.13865,20830357.6638,443695.67805650854,Debt,208303576.638,89.83
Invesco Mutual Fund,230,1008.9623026086956,232061.3296,1273.005513492376,Other,2320613.296,1.0
UTI Mutual Fund,1360,165.82075272058825,225516.2237,593.9974970700277,Other,2255162.237,0.97
Nippon India Mutual Fund,1908,93.24233218029349,177906.3698,446.87199716970105,Other,1779063.6979999999,0.77
SBI Mutual Fund,513,243.503701754386,124917.399,729.1593896734206,Debt,1249173.99,0.54
Franklin Templeton Mutual Fund,472,261.9378387711864,123634.6599,1303.2413347230938,Other,1236346.599,0.53
Axis Mutual Fund,399,267.5721398496241,106761.2838,573.2518447041701,Other,1067612.838,0.46
ICICI Prudential Mutual Fund,2483,37.64371812323802,93469.3521,123.08695251566985,Other,934693.5210000001,0.4
Kotak Mahindra Mutual Fund,868,102.34232441591014,88833.13759301,476.9795628146252,Other,888331.3759301,0.38
Sundaram Mutual Fund,273,300.0527945054945,81914.4129,580.4567415266382,Debt,819144.129,0.35
Edelweiss Mutual Fund,284,279.08008978873244,79258.7455,660.2901788655356,Other,792587.4550000001,0.34
HDFC Mutual Fund,560,129.98857714285714,72793.6032,570.7728478972251,Other,727936.032,0.31
DSP Mutual Fund,334,197.07579910179643,65823.3169,566.8723920051671,Other,658233.169,0.28
Tata Mutual Fund,389,163.22215912596403,63493.4199,600.2196784444144,Other,634934.199,0.27
LIC Mutual Fund,212,281.920275,59767.0983,941.7228662316238,Other,597670.983,0.26
Baroda BNP Paribas Mutual Fund,255,228.0494580392157,58152.6118,581.4722930853353,Other,581526.118,0.25
Mirae Asset Mutual Fund,242,226.730097107438,54868.6835,500.460763601174,Other,548686.835,0.24
Aditya Birla Sun Life Mutual Fund,484,112.84682582644628,54617.8637,267.02755470722843,Other,546178.637,0.24
Groww Mutual Fund,163,326.3394061349693,53193.3232,565.6246264451765,Index,531933.232,0.23
Trust Mutual Fund,55,942.1402763636363,51817.7152,499.54097678743705,Other,518177.152,0.22
HSBC Mutual Fund,285,174.60130070175438,49761.3707,451.28641624543855,Other,497613.707,0.21
Canara Robeco Mutual Fund,130,355.99789923076924,46279.7269,756.4260302400677,Other,462797.26900000003,0.2
Bank of India Mutual Fund,135,334.89136444444443,45210.3342,694.8827102363837,Other,452103.34199999995,0.19
ITI Mutual Fund,106,385.3235235849057,40844.2935,523.5706973867714,Other,408442.935,0.18
Union Mutual Fund,146,273.1800931506849,39884.2936,508.7923161671197,Other,398842.936,0.17
Bajaj Finserv Mutual Fund,97,374.1339175257732,36290.99,503.2491250802887,Other,362909.89999999997,0.16
Mahindra Manulife Mutual Fund,114,317.93391403508775,36244.4662,541.2450929171835,Other,362444.662,0.16
Bandhan Mutual Fund,421,85.9826967748456,36198.71534221,316.40642737740706,Other,361987.1534221,0.16
PGIM India Mutual Fund,195,176.80114461538463,34476.2232,441.3730729858459,Other,344762.232,0.15
WhiteOak Capital Mutual Fund,62,361.2316983870968,22396.3653,515.0329077804829,Other,223963.65300000002,0.1
JM Financial Mutual Fund,174,103.88049310344827,18075.2058,264.17261994935984,Other,180752.058,0.08
360 ONE Mutual Fund,44,298.06484545454543,13114.8532,544.7240120195635,Other,131148.532,0.06
PPFAS Mutual Fund,24,396.7784791666666,9522.6835,538.855778204453,Other,95226.83499999999,0.04
quant Mutual Fund,126,66.52141825396826,8381.6987,115.75055245088683,Other,83816.98700000001,0.04
The Wealth Company Mutual Fund,20,407.18818,8143.7636,499.10854150231177,Other,81437.636,0.04
Shriram Mutual Fund,36,216.7196888888889,7801.9088,411.2496861145354,Other,78019.088,0.03
Taurus Mutual Fund,39,178.80221025641026,6973.2862000000005,392.70784933585765,Other,69732.86200000001,0.03
Motilal Oswal Mutual Fund,194,28.794434536082473,5586.1203,35.96383725742632,Other,55861.202999999994,0.02
Quantum Mutual Fund,42,114.13429285714285,4793.6403,426.0683239980445,Other,47936.403,0.02
Helios Mutual Fund,24,188.236225,4517.6694,401.94647571817893,Other,45176.693999999996,0.02
Samco Mutual Fund,25,147.873864,3696.8466,379.8488705348428,Other,36968.466,0.02
NJ Mutual Fund,17,217.19164705882355,3692.2580000000003,454.288618071355,Other,36922.58,0.02
Jio BlackRock Mutual Fund,9,346.67409999999995,3120.0669,504.60797684247177,Index,31200.668999999998,0.01
Unifi Mutual Fund,6,348.34593333333333,2090.0756,523.5344622009775,Other,20900.756,0.01
Navi Mutual Fund,72,21.9004125,1576.8297,9.007853789073984,Other,15768.297,0.01
Angel One Mutual Fund,10,113.32658999999998,1133.2658999999999,323.0620395998489,Index,11332.659,0.0
Zerodha Mutual Fund,15,20.406826666666667,306.1024,25.625971585301237,Index,3061.024,0.0
Open Ended Schemes(Growth),5,16.79956,83.9978,5.701502638164785,Other,839.978,0.0
Old Bridge Mutual Fund,4,12.155,48.62,0.13279056191361444,Other,486.2,0.0
Capitalmind Mutual Fund,2,10.142900000000001,20.285800000000002,0.025455844122716047,Other,202.858,0.0
