Scheme_Code,Scheme_Name,AMC,Category,NAV,Date,Rank
148398,IL&FS Infrastructure Debt Fund Series 2B - Growth - Direct,IL&FS Mutual Fund (IDF),Debt,2374582.912,2025-09-30,1
148399,IL&FS Infrastructure Debt Fund Series 2C - Growth - Direct,IL&FS Mutual Fund (IDF),Debt,2334867.2899,2025-09-30,2
130567,IL&FS Infrastructure Debt Fund Series 1C- Dividend Payout Option,IL&FS Mutual Fund (IDF),Debt,2185944.3903,2024-03-31,3
129288,IL&FS Infrastructure Debt Fund Series 1C - Growth,IL&FS Mutual Fund (IDF),Debt,2185944.3803,2024-03-31,4
148397,IL&FS Infrastructure Debt Fund Series 2A - Growth - Direct,IL&FS Mutual Fund (IDF),Debt,1836790.0553,2025-09-30,5
130565,IL&FS Infrastructure Debt Fund Series 1A - Dividend payout option,IL&FS Mutual Fund (IDF),Debt,1680494.0463,2018-12-31,6
129287,IL&FS Infrastructure Debt Fund Series 1A - Growth,IL&FS Mutual Fund (IDF),Debt,1680494.0463,2018-12-31,7
129286,IL&FS Infrastructure Debt Fund Series 1B - Growth,IL&FS Mutual Fund (IDF),Debt,1456756.8971,2021-03-31,8
130566,IL&FS Infrastructure Debt Fund Series 1B - Dividend Payout,IL&FS Mutual Fund (IDF),Debt,1456756.8966,2021-03-31,9
142701,IL&FS Infrastructure Debt Fund Series 3A - Growth - Direct,IL&FS Mutual Fund (IDF),Debt,1213045.0145,2022-12-31,10
142700,IL&FS Infrastructure Debt Fund Series 3A - Dividend payout option - Direct,IL&FS Mutual Fund (IDF),Debt,1213044.969,2022-12-31,11
142702,IL&FS Infrastructure Debt Fund Series 3A - Growth - Regular,IL&FS Mutual Fund (IDF),Debt,1211636.7662,2022-12-31,12
118565,Franklin India SHORT TERM INCOME PLAN - Direct - GROWTH,Franklin Templeton Mutual Fund,Debt,15097.536,2025-05-02,13
101232,Franklin India Short-Term Income Plan-Growth,Franklin Templeton Mutual Fund,Debt,15041.2784,2025-05-02,14
101244,Franklin India Short-Term Income Plan-Institutional Plan - Growth,Franklin Templeton Mutual Fund,Debt,12430.0,2025-05-02,15
151961,LIC MF Gold Exchange Traded Fund,LIC Mutual Fund,Other,10880.7979,2025-11-04,16
112368,Invesco India Gold Exchange Traded Fund,Invesco Mutual Fund,Other,10459.4321,2025-11-04,17
100723,UTI MMF-Discontinued - Regular Plan -Growth,UTI Mutual Fund,Other,7294.2302,2025-11-04,18
118701,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Liquid,6585.7416,2025-11-05,19
100851,Nippon India Liquid Fund -Growth Plan,Nippon India Mutual Fund,Liquid,6499.5597,2025-11-05,20
102540,UTI Low Duration Fund - Discontinued Growth Option,UTI Mutual Fund,Other,6426.5314,2025-11-04,21
119828,SBI MAGNUM ULTRA SHORT DURATION FUND - DIRECT PLAN - GROWTH,SBI Mutual Fund,Other,6216.482,2025-11-04,22
100641,SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,SBI Mutual Fund,Other,6104.549,2025-11-04,23
100538,Franklin India Liquid Fund - Regular Plan - Growth,Franklin Templeton Mutual Fund,Liquid,6017.2826,2025-11-04,24
119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Other,5967.9587,2025-11-04,25
101993,HDFC Money Market Fund - Growth Option,HDFC Mutual Fund,Other,5848.3216,2025-11-04,26
100837,Nippon India Liquid Fund - Retail Option - Growth Plan,Nippon India Mutual Fund,Liquid,5743.0565,2025-11-05,27
119766,Kotak Liquid Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Liquid,5435.4846,2025-11-04,28
100835,Kotak Liquid Fund - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Liquid,5382.3962,2025-11-04,29
119091,HDFC Liquid Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Liquid,5283.4334,2025-11-05,30
100868,HDFC Liquid Fund - Growth Plan,HDFC Mutual Fund,Liquid,5225.1375,2025-11-05,31
119424,Tata Money Market Fund- Direct Plan- Growth Option,Tata Mutual Fund,Other,4927.0713,2025-11-04,32
120249,LIC MF Liquid Fund-Direct Plan-Growth,LIC Mutual Fund,Liquid,4884.5269,2025-11-05,33
101847,Tata Money Market Fund-Regular Plan - Growth Option,Tata Mutual Fund,Other,4832.2739,2025-11-04,34
101185,LIC MF Liquid Fund-Regular Plan-Growth,LIC Mutual Fund,Liquid,4813.8211,2025-11-05,35
118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Other,4682.9003,2025-11-04,36
120746,UTI Ultra Short Duration Fund - Direct Plan - Growth Option,UTI Mutual Fund,Other,4651.277,2025-11-04,37
