Scheme_Code,ISIN_Div,ISIN_Growth,Scheme_Name,NAV,Date,AMC,Category,Estimated_AUM_Cr
149990,-,-,Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Greater than 3 years,1000.0,2025-11-05,Baroda BNP Paribas,Debt,1519.705676062312
152301,-,-,Quantum Liquid Fund - Unclaimed Redemption Plan Above 3 years,10.0,2025-11-05,Quantum,Debt,472.1142890255866
152299,-,-,Quantum Liquid Fund - Unclaimed IDCW Plan Above 3 years,10.0,2025-11-05,Quantum,Debt,437.11903068982474
141067,INF082J01325,INF082J01333,Quantum Liquid Fund - Regular Plan Monthly IDCW,10.0225,2025-11-05,Quantum,Debt,415.78535747152586
141066,INF082J01309,-,Quantum Liquid Fund - Regular Plan Growth Option,35.6478,2025-11-05,Quantum,Debt,1079.9307461598507
141065,-,INF082J01317,Quantum Liquid Fund - Regular Plan Daily IDCW,10.0002,2025-11-05,Quantum,Debt,344.9591232537924
103735,INF082J01143,INF082J01200,Quantum Liquid Fund - Direct Plan Monthly IDCW,10.0253,2025-11-05,Quantum,Debt,329.2933779469119
103734,INF082J01127,-,Quantum Liquid Fund - Direct Plan Growth Option,35.9123,2025-11-05,Quantum,Debt,1446.2945829442444
103736,-,INF082J01135,Quantum Liquid Fund - Direct Plan Daily IDCW,10.0094,2025-11-05,Quantum,Debt,416.17840187891335
148512,-,-,quant Liquid Fund-Unclaimed Redemption Plan-Growth Option,13.2557,2025-11-05,quant,Debt,504.39831624822745
148511,-,-,quant Liquid Fund-Unclaimed Redemption Investor Education Plan-Growth Option,13.4416,2025-11-05,quant,Debt,381.6266063198589
148510,-,-,quant Liquid Fund-Unclaimed Dividend-Growth Option,13.4404,2025-11-05,quant,Debt,560.8750522806438
148513,-,-,quant Liquid Fund-Unclaimed Dividend Investor Education Plan-Growth Option,13.4416,2025-11-05,quant,Debt,534.9617774737219
103226,-,INF966L01275,quant Liquid Fund-Daily IDCW Option - Regular Plan,12.7587,2025-11-05,quant,Debt,396.61468005846547
120836,-,INF966L01770,quant Liquid Fund-Daily IDCW Option - Direct Plan,13.2498,2025-11-05,quant,Debt,406.1999747150349
103227,INF966L01499,INF966L01283,quant Liquid Fund - Weekly IDCW Option - Regular Plan,14.481,2025-11-05,quant,Debt,444.26634874418306
120839,INF966L01788,INF966L01804,quant Liquid Fund - Weekly IDCW Option - Direct Plan,14.633,2025-11-05,quant,Debt,473.7750310526307
103228,INF966L01291,INF966L01309,quant Liquid Fund - Monthly IDCW Option - Regular Plan,15.1707,2025-11-05,quant,Debt,538.1901803440863
120838,INF966L01796,INF966L01812,quant Liquid Fund - Monthly IDCW Option - Direct Plan,15.7214,2025-11-05,quant,Debt,537.2242791404957
103225,INF966L01317,-,quant Liquid Fund - Growth Option - Regular Plan,42.0867,2025-11-05,quant,Debt,1354.9524679690585
120837,INF966L01820,-,quant Liquid Fund - Growth Option - Direct Plan,43.2317,2025-11-05,quant,Debt,1586.5789519806021
143266,-,INF879O01142,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,1001.3153,2025-11-05,PPFAS,Debt,1369.2760708173068
143261,INF879O01043,INF879O01050,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,1004.3878,2025-11-05,PPFAS,Debt,1466.9725750625396
143260,INF879O01035,-,Parag Parikh Liquid Fund- Regular Plan- Growth,1476.895,2025-11-05,PPFAS,Debt,1514.4715797079627
143264,-,INF879O01126,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,1000.5404,2025-11-05,PPFAS,Debt,1571.884789898903
143265,-,INF879O01134,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,1001.3209,2025-11-05,PPFAS,Debt,1782.5126152915288
151908,-,INF769K01KS1,Mirae Asset Nifty 1D Rate Liquid ETF-IDCW,1000.0,2025-11-05,Mirae Asset,Index,703.8956102906751
152298,-,-,Quantum Liquid Fund - Unclaimed IDCW Plan Below 3 years,11.2911,2025-11-05,Quantum,Debt,402.27751014617786
152300,-,-,Quantum Liquid Fund - Unclaimed Redemption Plan Below 3 years,10.857,2025-11-05,Quantum,Debt,414.78633101792684
153703,INF579M01BG4,-,360 ONE Overnight Fund - Direct Plan - Growth,1017.8319,2025-11-05,360 ONE,Debt,1309.7282641407987
119804,INF200K01UR8,INF200K01US6,SBI Liquid Fund - Direct Paln - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),1373.553,2025-11-05,SBI,Debt,1668.8287052169205
119861,INF277K01YE6,-,Tata Liquid Fund- Direct Plan-Growth Option,4247.1735,2025-11-05,Tata,Debt,1389.1354391598666
119862,-,INF277K012D2,Tata Liquid Fund- Direct Plan - Daily Reinvestment of IDCW Option,1001.5187,2025-11-05,Tata,Debt,1321.633019510579
102672,INF277K01YD8,-,Tata Liquid Fund -Regular Plan - Growth Option,4194.9342,2025-11-05,Tata,Debt,1887.286743842133
153688,-,INF277KA1EF9,Tata Liquid Fund - Regular Plan - Weekly IDCW Reinvestment,1017.0897,2025-11-05,Tata,Debt,1898.0045011677178
153689,-,INF277KA1EE2,Tata Liquid Fund - Direct Plan - Weekly IDCW Reinvestment,1021.1255,2025-11-05,Tata,Debt,1797.374302794535
140086,INF732E01037,-,Nippon India ETF Nifty 1D Rate Liquid BeES - DAILY IDCW Option,1000.0,2025-11-05,Nippon India,Index,737.4764061354786
149661,INF173K01DA9,-,Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) -Growth Option,2348.4354,2025-11-05,Sundaram,Debt,1342.5101529640858
149662,INF173K01GV8,INF173K01GW6,Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) -Direct Plan - IDCW,1035.5993,2025-11-05,Sundaram,Debt,1717.9091369677803
149660,INF173K01DD3,INF173K01DE1,Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Regular Plan IDCW,1034.1078,2025-11-05,Sundaram,Debt,1561.6975959933447
149664,INF173K01GU0,-,Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Direct Plan - Growth Option,2377.4682,2025-11-05,Sundaram,Debt,1358.1044703006585
153281,-,-,Shriram Unclaimed Redemption Stable Scheme Liquid Fund,1000.0,2025-11-05,Shriram,Debt,1596.913222471213
153280,-,-,Shriram Unclaimed Redemption Liquid Fund,1049.4594,2025-11-05,Shriram,Debt,1302.0086535137398
153283,-,-,Shriram Unclaimed IDCW Stable Scheme Liquid Fund,1000.0,2025-11-05,Shriram,Debt,1861.9650573304207
153282,-,-,Shriram Unclaimed IDCW Liquid Fund,1037.7215,2025-11-05,Shriram,Debt,1445.619188224011
153036,INF680P01448,-,Shriram Liquid Fund - Regular Plan Growth Option,1062.102,2025-11-05,Shriram,Debt,1704.0142619865485
153035,INF680P01430,-,Shriram Liquid Fund - Direct Plan Growth Option,1063.6147,2025-11-05,Shriram,Debt,1479.495088697223
105280,INF200K01MA1,-,SBI Liquid Fund - REGULAR PLAN -Growth,4162.0894,2025-11-05,SBI,Debt,1612.843533553799
105282,INF200K01MB9,INF200K01MC7,SBI Liquid Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1379.7336,2025-11-05,SBI,Debt,1629.8945787796988
105283,INF200K01LY3,INF200K01LZ0,SBI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),1365.9183,2025-11-05,SBI,Debt,1398.3068515363375
105281,-,INF200K01LX5,SBI Liquid Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1140.7391,2025-11-05,SBI,Debt,1900.5341617693175
105275,-,INF200K01LR7,SBI Liquid Fund - Institutional Daily Income Distribution cum Capital Withdrawal Option (IDCW),1349.7706,2025-11-05,SBI,Debt,1776.0850069511132
105274,INF200K01LU1,-,SBI Liquid Fund - Institutional - Growth,4201.4519,2025-11-05,SBI,Debt,1881.279322601081
119800,INF200K01UT4,-,SBI Liquid Fund - DIRECT PLAN -Growth,4206.2535,2025-11-05,SBI,Debt,1852.6895042736953
119799,INF200K01UU2,INF200K01UV0,SBI Liquid Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1386.6516,2025-11-05,SBI,Debt,1662.6559864390945
119805,-,INF200K01UQ0,SBI Liquid Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1144.0484,2025-11-05,SBI,Debt,1869.999510414795
153045,INF769K01MY5,-,Mirae Asset Nifty 1D Rate Liquid ETF - Growth,1058.1024,2025-11-05,Mirae Asset,Index,668.3176006566143
