AMC,Category,Scheme_Count,Avg_NAV,Median_NAV,Total_AUM_Cr
360 ONE,Debt,20,619.97324,512.4767499999999,23157.269750830903
360 ONE,Equity,12,27.289783333333332,17.7897,24294.573838528555
360 ONE,FoF,1,117.7163,117.7163,448.8691726879978
360 ONE,Hybrid,8,12.003675,11.91,3595.72131499527
360 ONE,Index,1,144.1604,144.1604,664.3965497515406
360 ONE,Other,2,15.741050000000001,15.741050000000001,1021.2892342844964
Aditya Birla Sun Life,Debt,78,249.68400256410257,102.14484999999999,97288.6049377426
Aditya Birla Sun Life,Equity,128,207.14757265625,40.123850000000004,314579.99570454785
Aditya Birla Sun Life,FoF,21,25.345447619047622,16.6259,4582.867259151148
Aditya Birla Sun Life,Hybrid,36,37.8431,33.09125,33884.79851963288
Aditya Birla Sun Life,Index,121,20.72779586776859,12.3818,55774.08546006102
Aditya Birla Sun Life,Other,84,47.225766666666665,18.030949999999997,49520.206928355954
Aditya Birla Sun Life,Solution,16,16.2149875,16.029400000000003,3363.6666217794645
Angel One,FoF,3,11.0715,10.9867,311.6554792368989
Angel One,Index,7,157.1704714285714,11.9126,2842.0755687361757
Axis,Debt,126,700.8232865079365,1000.40355,136805.4736400384
Axis,Equity,74,64.64878513513513,21.50885,161475.22595586785
Axis,FoF,5,32.54124,15.6626,1179.7916089579758
Axis,Hybrid,56,17.807842857142855,15.03125,35539.79924124346
Axis,Index,89,32.36972471910112,12.3714,40395.71190283545
Axis,Other,37,251.89739999999998,16.82,21069.63027371211
Axis,Solution,12,26.040408333333332,26.62945,4030.195125551166
Bajaj Finserv,Debt,38,902.1947342105265,1034.5486,51251.29980712342
Bajaj Finserv,Equity,28,11.613642857142858,11.446,31899.295026338947
Bajaj Finserv,Hybrid,16,11.3145,11.6325,6171.120224002362
Bajaj Finserv,Index,11,132.86419090909092,11.167,4782.447268238295
Bajaj Finserv,Other,4,9.9675,9.969,1286.766198343194
Bandhan,Debt,167,172.27630755095808,11.7999,111527.05181823066
Bandhan,Equity,65,49.47084892723077,30.786,150781.9133987355
Bandhan,Hybrid,60,20.52506530133333,15.200949999999999,41311.97677077222
Bandhan,Index,84,27.782165476190478,12.087800000000001,34351.77690514933
Bandhan,Other,40,14.893624571250001,12.013200000000001,17738.814018423484
Bandhan,Solution,4,13.004,13.002500000000001,649.033614683788
Bank of India,Debt,44,955.1363454545454,1000.15945,55126.794000184396
Bank of India,Equity,56,43.54125,32.565,136209.440615322
Bank of India,Hybrid,27,18.30462962962963,16.6043,17354.010764495015
Bank of India,Other,8,31.475,24.564999999999998,4449.390269447339
Baroda BNP Paribas,Debt,91,595.1620868131869,34.5691,95600.80398979597
Baroda BNP Paribas,Equity,58,45.34737931034483,16.3512,111286.58605868119
Baroda BNP Paribas,FoF,3,46.94383333333334,12.1092,710.8472483052494
Baroda BNP Paribas,Hybrid,38,16.903244736842105,14.15475,21903.26687461056
Baroda BNP Paribas,Index,17,14.030817647058823,11.9177,6367.113560090043
Baroda BNP Paribas,Other,18,14.515516666666665,12.8705,8402.79548722362
Baroda BNP Paribas,Solution,7,11.393699999999999,11.4635,1101.9407181780955
Canara Robeco,Debt,50,816.6712339999999,78.3474,57745.62633102342
Canara Robeco,Equity,48,92.85122708333334,41.22175,115375.0424585626
Canara Robeco,Hybrid,14,25.3991,10.675,7726.50923646081
Canara Robeco,Other,18,35.206605555555555,13.1003,10279.806728325224
Capitalmind,Equity,2,10.142900000000001,10.142900000000001,1946.1840518230156
DSP,Debt,99,539.5977424242425,12.5889,88637.44472138144
DSP,Equity,82,82.60624756097562,33.11585,201703.18979696764
DSP,FoF,5,38.48652,18.9667,1186.1394904837268
DSP,Hybrid,30,44.04494666666667,16.431250000000002,20280.164198229733
DSP,Index,74,46.62976891891892,12.6784,38522.746916387856
DSP,Other,44,15.164865909090908,12.30695,19230.899653229048
Edelweiss,Debt,86,847.3111372093024,1000.08505,95833.34243185216
Edelweiss,Equity,58,44.79376034482759,34.8352,145624.27056732637
Edelweiss,FoF,4,37.71165,10.168,803.6477117159577
Edelweiss,Hybrid,36,26.18807222222222,20.34695,27114.88094176157
Edelweiss,Index,82,29.011126829268296,13.2299,39176.10582986927
Edelweiss,Other,18,17.745555555555555,15.395800000000001,9961.668942339043
Franklin Templeton,Debt,91,1079.7650054945054,17.0674,81661.85031543656
Franklin Templeton,Equity,60,357.1155516666667,81.65299999999999,159770.79954960218
Franklin Templeton,FoF,8,54.409949999999995,52.41365,2512.3739127665435
Franklin Templeton,Hybrid,34,47.45927058823529,14.13365,23526.79785327329
Franklin Templeton,Index,4,202.246225,202.22775000000001,2931.414307980966
Franklin Templeton,Other,36,16.421444444444447,10.0,14615.853508309738
Franklin Templeton,Solution,4,125.870875,120.899,1677.9805115981978
Groww,Debt,62,827.1023435483871,1002.33465,84568.6604113439
Groww,Equity,12,24.166375000000002,21.525,23828.83633795512
Groww,FoF,5,35.4529,14.8779,917.5029354738242
Groww,Hybrid,14,18.813950000000002,21.1,9401.177157262144
Groww,Index,66,17.218622727272727,10.8115,26440.954350226122
Groww,Other,4,11.473125,11.4148,1558.8791381787194
HDFC,Debt,101,440.1440198019802,18.4893,88424.34389816511
HDFC,Equity,168,106.48865892857144,13.41095,295738.7907689586
HDFC,FoF,7,36.332885714285716,20.006,2178.941560014575
HDFC,Hybrid,29,68.24269655172414,30.25,25663.529277508253
HDFC,Index,72,72.2663375,15.670449999999999,39394.01699269903
HDFC,Other,173,11.876162427745665,10.0,63468.723581904465
HDFC,Solution,10,95.74807,45.276849999999996,5057.036144729625
HSBC,Debt,95,448.1589821052632,27.0917,91871.51277063572
HSBC,Equity,88,57.80113636363637,21.651400000000002,184392.67318897584
HSBC,Hybrid,44,27.066163636363637,20.64565,36633.78708550282
HSBC,Index,16,21.27475625,21.16315,9774.931004286738
HSBC,Other,42,13.534764285714285,10.0,17161.624548307394
Helios,Debt,4,1066.01985,1065.73165,5495.179175953977
Helios,Equity,14,13.042142857142858,12.93,18198.05966691881
Helios,Hybrid,4,11.7825,11.780000000000001,1666.4072056158084
Helios,Other,2,11.935,11.935,785.6485454687536
ICICI Prudential,Debt,249,138.7313734939759,15.0013,219696.00513592688
ICICI Prudential,Equity,269,82.04158959107806,19.7164,531399.5547933663
ICICI Prudential,FoF,23,66.8498304347826,37.1,7322.007668006707
ICICI Prudential,Hybrid,39,27.492317948717947,20.54,31444.924657122545
ICICI Prudential,Index,158,35.36293227848101,16.240850000000002,84527.8916906601
ICICI Prudential,Other,1733,15.933741084824003,12.7879,741751.4328217808
ICICI Prudential,Solution,12,87.26531666666666,35.865,4842.126950985146
ITI,Debt,50,796.31597,1001.15515,65636.56985234206
ITI,Equity,42,19.657585714285716,18.5535,81899.47358666347
ITI,Hybrid,8,14.042675,13.8391,3768.454991688431
ITI,Other,6,15.089166666666666,16.11465,2843.674023417775
Invesco,Debt,109,1833.3714513761468,1305.948,171811.8701456625
Invesco,Equity,62,57.63577096774194,34.33645,156452.11714936717
Invesco,FoF,4,34.403800000000004,34.391400000000004,1527.364559830714
Invesco,Hybrid,25,183.229044,22.7491,21245.559702566563
Invesco,Index,12,1939.7775666666666,1233.0131000000001,9598.759752753735
Invesco,Other,18,36.37508333333333,13.29075,8972.5953331282
JM Financial,Debt,79,167.95118607594938,26.95,75276.16298410954
JM Financial,Equity,43,49.01728372093023,31.4287,105912.7950073616
JM Financial,Hybrid,40,58.6260875,33.958,39643.92411851736
JM Financial,Other,12,29.522949999999998,18.0,7055.2343614505035
Jio BlackRock,Debt,3,1019.4846000000001,1019.7758,4419.482911813835
Jio BlackRock,Equity,1,10.14,10.14,1074.7470319950432
Jio BlackRock,Index,5,10.29462,10.2922,1723.8676165164939
