AMC,Total_Schemes,Avg_NAV,Median_NAV,NAV_Std,Total_AUM_Cr,Primary_Category,Market_Share_Pct
Nippon India,1859,95.70003754706832,12.721,452.4662272968281,1761452.6027611194,Equity,13.09
ICICI Prudential,2483,37.64427970197342,12.8739,123.09172251183219,1620983.9437178485,Other,12.05
UTI,1300,173.47401823076925,11.2836,606.4664040479495,990583.9810325602,Debt,7.36
Kotak,868,102.34489158180877,12.74540151,477.00271019180764,820843.4846127498,Equity,6.1
SBI,513,243.51408849902535,17.9212,729.1983741291966,596469.0959996982,Debt,4.43
Aditya Birla Sun Life,484,112.84982438016529,21.609099999999998,267.03685958170234,558994.2254312709,Equity,4.15
HDFC,560,129.9879325,12.7848,570.7729748116342,519925.3822239796,Other,3.86
Axis,399,267.5721398496241,17.4625,573.2518447041698,400495.8277482064,Debt,2.98
Tata,383,165.779164229765,16.8454,604.5636824170804,398037.3602169063,Index,2.96
Sundaram,273,300.06017472527475,30.2487,580.4730842458639,386425.32728974463,Debt,2.87
Invesco,230,1008.9623026086956,1000.85455,1273.005513492375,369608.2666433089,Debt,2.75
DSP,334,197.0824155688623,15.5886,566.9005950029554,369560.58477667946,Debt,2.75
Bandhan,420,86.18741748145239,13.1256,316.75585877052686,356360.566525995,Debt,2.65
HSBC,285,174.60130070175438,19.207,451.28641624543866,339834.52859770856,Debt,2.53
Edelweiss,284,279.08008978873244,18.3776,660.2901788655356,318513.9164248644,Debt,2.37
Franklin Templeton,237,521.6796784810126,23.0302,1803.8008150647277,286697.06995896745,Debt,2.13
LIC,212,281.920275,36.8008,941.722866231624,277141.01841654483,Other,2.06
Baroda BNP Paribas,232,250.6578094827586,14.443999999999999,605.0480726922527,245373.35393688473,Debt,1.82
Mirae Asset,242,226.74125537190085,16.735300000000002,500.49348043057694,238992.34636502806,Index,1.78
JM Financial,174,103.88049310344827,28.9513,264.17261994936,227888.116471439,Debt,1.69
Bank of India,135,334.89136444444443,29.2,694.8827102363834,213139.63564944876,Equity,1.58
PGIM India,187,184.36482994652405,16.6,449.2072435859792,202439.0253352898,Debt,1.5
Canara Robeco,130,355.99789923076924,33.06275,756.4260302400672,191126.98475437207,Debt,1.42
Union,146,273.1800931506849,18.759999999999998,508.7923161671196,185871.30194889134,Debt,1.38
quant,126,66.52141825396826,16.728299999999997,115.75055245088684,184879.0901261567,Equity,1.37
Motilal Oswal,194,28.794434536082473,14.1324,35.963837257426334,181204.7882632095,Index,1.35
Mahindra Manulife,114,317.93391403508775,20.60105,541.2450929171836,159740.13568414983,Equity,1.19
ITI,106,385.3235235849057,19.8316,523.5706973867716,154148.17245411174,Debt,1.15
Groww,163,326.3394061349693,20.14,565.6246264451764,146716.0103304398,Index,1.09
Navi,72,21.900677777777776,20.968049999999998,9.007889095382472,103417.48383796742,Equity,0.77
Bajaj Finserv,97,374.1339175257732,11.7963,503.2491250802888,95390.92852404622,Debt,0.71
WhiteOak Capital,62,361.2316983870968,17.824,515.0329077804829,87288.20003788584,Equity,0.65
Taurus,39,178.80221025641026,87.96,392.7078493358576,86669.33482962054,Equity,0.64
Trust,55,942.1402763636363,1161.7775,499.54097678743705,86097.69912004303,Debt,0.64
Quantum,42,114.13429285714285,24.815,426.0683239980445,64822.57309937653,Equity,0.48
360 ONE,44,298.09841818181815,21.4578,544.7968161079176,53182.11986107876,Debt,0.4
Shriram,36,216.7196888888889,20.475099999999998,411.24968611453534,41917.06543161106,Debt,0.31
PPFAS,24,396.7784791666667,60.0415,538.8557782044534,33025.21191538434,Hybrid,0.25
Helios,24,188.236225,12.495000000000001,401.946475718179,26145.294593957347,Equity,0.19
Samco,25,147.873864,10.51,379.8488705348428,22967.619651061286,Equity,0.17
The Wealth Company,20,407.18818,10.04,499.10854150231177,20165.91776028606,Debt,0.15
Zerodha,15,20.406826666666667,13.3927,25.625971585301244,7374.774683884708,Index,0.05
Jio BlackRock,9,346.6741,10.3988,504.6079768424717,7218.097560325372,Index,0.05
Unifi,6,348.34593333333333,10.50405,523.5344622009775,6131.967383234486,Debt,0.05
Old Bridge,4,12.155,12.155,0.13279056191361444,4670.006079565347,Equity,0.03
Angel One,10,113.34078,11.1181,323.1069122381795,3153.7310479730745,Index,0.02
Capitalmind,2,10.142900000000001,10.142900000000001,0.02545584412271479,1946.1840518230156,Equity,0.01
