Scheme_Code,Scheme_Name,AMC,Category,NAV,Estimated_AUM_Cr,Date,Rank,Metric
118565,Franklin India SHORT TERM INCOME PLAN - Direct - GROWTH,Franklin Templeton,Debt,15097.536,1785.5133574627448,2025-05-02,1,NAV
101232,Franklin India Short-Term Income Plan-Growth,Franklin Templeton,Debt,15041.2784,1566.29275306636,2025-05-02,2,NAV
101244,Franklin India Short-Term Income Plan-Institutional Plan - Growth,Franklin Templeton,Debt,12430.0,1768.7107069530616,2025-05-02,3,NAV
151961,LIC MF Gold Exchange Traded Fund,LIC,Index,10880.7979,939.0185724011012,2025-11-04,4,NAV
112368,Invesco India Gold Exchange Traded Fund,Invesco,Index,10459.4321,903.4474280576097,2025-11-04,5,NAV
100723,UTI MMF-Discontinued - Regular Plan -Growth,UTI,Equity,7294.2302,2730.1186578709494,2025-11-04,6,NAV
118701,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,Nippon India,Debt,6585.7416,1763.552728667551,2025-11-05,7,NAV
100851,Nippon India Liquid Fund -Growth Plan,Nippon India,Debt,6499.5597,1296.268241116221,2025-11-05,8,NAV
102540,UTI Low Duration Fund - Discontinued Growth Option,UTI,Debt,6426.5314,1521.4091407728888,2025-11-04,9,NAV
119828,SBI MAGNUM ULTRA SHORT DURATION FUND - DIRECT PLAN - GROWTH,SBI,Debt,6216.482,1890.1165872527183,2025-11-04,10,NAV
100641,SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,SBI,Debt,6104.549,1574.6105924113697,2025-11-04,11,NAV
100538,Franklin India Liquid Fund - Regular Plan - Growth,Franklin Templeton,Debt,6018.1101,1841.5187660338916,2025-11-05,12,NAV
119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC,Debt,5967.9587,1801.205709228212,2025-11-04,13,NAV
101993,HDFC Money Market Fund - Growth Option,HDFC,Debt,5848.3216,1524.5590364543827,2025-11-04,14,NAV
100837,Nippon India Liquid Fund - Retail Option - Growth Plan,Nippon India,Debt,5743.0565,1860.8425433126995,2025-11-05,15,NAV
119766,Kotak Liquid Fund - Direct Plan - Growth,Kotak,Debt,5436.3358,1554.5561775200117,2025-11-05,16,NAV
100835,Kotak Liquid Fund - Regular Plan - Growth,Kotak,Debt,5383.2229,1875.6846883862813,2025-11-05,17,NAV
119091,HDFC Liquid Fund - Growth Option - Direct Plan,HDFC,Debt,5283.4334,1647.000248398903,2025-11-05,18,NAV
100868,HDFC Liquid Fund - Growth Plan,HDFC,Debt,5225.1375,1888.388574040036,2025-11-05,19,NAV
119424,Tata Money Market Fund- Direct Plan- Growth Option,Tata,Debt,4927.0713,1693.6383575407242,2025-11-04,20,NAV
